Burrow,Site,longitude,latitude,Sampling_Day
154,Site1,-65.74640976,43.45694697,4
156,Site1,-65.74638275,43.45694257,4
159,Site1,-65.74624295,43.45697689,4
161,Site1,-65.74627824,43.45699192,4
169,Site1,-65.74630527,43.45712084,1
175,Site1,-65.74630485,43.45713745,1
205,Site1,-65.74636256,43.45696092,4
225,Site1,-65.74625689,43.4569791,4
257,Site1,-65.74626733,43.45698615,4
281,Site1,-65.74651328,43.45711643,1
284,Site1,-65.74659235,43.45704397,1
287,Site1,-65.74657766,43.45705215,1
293,Site1,-65.74650631,43.45713819,1
295,Site1,-65.74649142,43.4571599,1
299,Site1,-65.74658052,43.45706871,1
313,Site1,-65.74611426,43.45707679,4
314,Site1,-65.74609529,43.45707356,4
352,Site1,-65.74656713,43.45706376,1
356,Site1,-65.74653385,43.45713127,1
370,Site1,-65.7461255,43.4570943,4
371,Site1,-65.74611796,43.45709129,4
387,Site1,-65.74626622,43.45701118,4
389,Site1,-65.74638992,43.4569554,4
393,Site1,-65.74637334,43.45695864,4
399,Site1,-65.74629361,43.45712436,1
434,Site1,-65.74653037,43.45713788,1
Unmarked,Site1,-65.74659305,43.45704082,1
101,SIte2,-65.7478137,43.45743184,3
103,SIte2,-65.74788741,43.45745375,3
109,SIte2,-65.74766484,43.45739728,3
118,SIte2,-65.74761604,43.45754526,3
131,SIte2,-65.74747621,43.45746999,3
147,SIte2,-65.74724073,43.4575157,3
246,SIte2,-65.74765535,43.45737557,3
510,SIte3,-65.74369181,43.45998222,2
511,SIte3,-65.74370061,43.45999101,2
512,SIte3,-65.74370204,43.46000628,2
513,SIte3,-65.7437168,43.46000188,2
516,SIte3,-65.74372626,43.46002254,2
524,SIte3,-65.74379801,43.45996923,2
525,SIte3,-65.74377943,43.45996841,2
528,SIte3,-65.74371956,43.45998642,2
529,SIte3,-65.7437619,43.45994155,2
90,SIte2,-65.7478711,43.45755861,2
