FeatherRT,Compound_Name,Type,In_Burrow,SoilRT
RT10.02,Benzaldehyde,Bird,Y,RT9.96
RT10.50,(-) Beta-Pinene,Plant,Y,RT10.44
RT10.83,"5-Hepten-6-one, 2-methyl",Bird,N,NA
RT11.02,2-Octanone,Bird,N,NA
RT11.45,Octanal,Bird,Y,RT11.37
RT11.50,3-Carene,Plant,Y,RT11.47
RT11.84,4-Cyanocyclohexene (2-methyl-2-bornene?),Plant,Y,RT11.77
RT12.04,o-Cymene,Plant,Y,RT11.98
RT12.19,Limonene,Plant,Y,RT12.16
RT12.26,"1-Hexanol, 2-ethyl",Bird,N,NA
RT12.35,"Octane 6-ethyl, 2-methyl",Bird,N,NA
RT12.64,Benzeneacetaldehyde,Bird,N,NA
RT13.12,Gamma-Terpinene,Plant,Y,RT13.05
RT13.26,"Octane, 1-chloro",Contaminant,N,NA
RT13.33,Acetophenone,Bird,N,NA
RT14.19,2-Nonanone,Bird,Y,RT14.12
RT14.62,Nonanal,Bird,Y,RT14.61
RT15.63,E-Pinocarveol,Plant,Y,RT15.64
RT16.24,Pinocarvone,Plant,Y,RT16.20
RT16.30,1-(1-tert-Butoxypropan-2-yloxy)propan-2-ol,Contaminant,N,NA
RT16.55,Endo-borneol,Plant,Y,RT16.52
RT17.21,2-Decanone,Bird,Y,RT17.14
RT17.27,Alpha Terpineol,Plant,Y,RT17.20
RT17.49,Dodecane,Bird,Y,RT17.43
RT17.63,Decanal,Bird,Y,RT17.56
RT18.81,"1,3-Di-tert-butylbenzene",Contaminant,N,NA
RT19.83,L-Bornyl acetate,Plant,Y,RT19.73
RT19.99,3-tert-Butylphenol,Contaminant,Y,RT19.95
RT20.06,2-Undecanone,Bird,Y,RT19.99
RT20.31,Tridecane,Bird,Y,RT20.23
RT20.47,Undecanal,Bird,Y,RT20.41
RT21.18,Unid 88/115_1,Bird,N,NA
RT21.50,Unid_97,Bird,N,NA
RT21.58,Alpha-Longipinene,Plant,Y,RT21.49
RT22.14,Texanol,Contaminant,N,NA
RT22.66,(+) Satvien,Plant,Y,RT22.63
RT22.73,Unid_58,Bird,N,NA
