File,Band_Number,RT,Area
1701-14113_1.D,1701-14113,RT10.02,47723
1701-14113_2.D,1701-14113,RT10.02,72081
1701-14113_3.D,1701-14113,RT10.02,57900
1701-14113_1.D,1701-14113,RT10.50,3257
1701-14113_2.D,1701-14113,RT10.50,3457
1701-14113_3.D,1701-14113,RT10.50,5738
1701-14113_1.D,1701-14113,RT10.83,14180
1701-14113_2.D,1701-14113,RT10.83,14918
1701-14113_3.D,1701-14113,RT10.83,16088
1701-14113_1.D,1701-14113,RT11.02,12179
1701-14113_2.D,1701-14113,RT11.02,14354
1701-14113_3.D,1701-14113,RT11.02,12306
1701-14113_1.D,1701-14113,RT11.45,43190
1701-14113_2.D,1701-14113,RT11.45,87852
1701-14113_3.D,1701-14113,RT11.45,56396
1701-14113_1.D,1701-14113,RT11.50,0
1701-14113_2.D,1701-14113,RT11.50,0
1701-14113_3.D,1701-14113,RT11.50,0
1701-14113_1.D,1701-14113,RT11.84,28478
1701-14113_2.D,1701-14113,RT11.84,27026
1701-14113_3.D,1701-14113,RT11.84,37202
1701-14113_1.D,1701-14113,RT12.04,4073
1701-14113_2.D,1701-14113,RT12.04,6473
1701-14113_3.D,1701-14113,RT12.04,13297
1701-14113_1.D,1701-14113,RT12.19,6666
1701-14113_2.D,1701-14113,RT12.19,12577
1701-14113_3.D,1701-14113,RT12.19,8644
1701-14113_1.D,1701-14113,RT12.26,102353
1701-14113_2.D,1701-14113,RT12.26,182585
1701-14113_3.D,1701-14113,RT12.26,160770
1701-14113_1.D,1701-14113,RT12.35,17609
1701-14113_2.D,1701-14113,RT12.35,18334
1701-14113_3.D,1701-14113,RT12.35,19319
1701-14113_1.D,1701-14113,RT12.64,12644
1701-14113_2.D,1701-14113,RT12.64,24212
1701-14113_3.D,1701-14113,RT12.64,17521
1701-14113_1.D,1701-14113,RT13.12,0
1701-14113_2.D,1701-14113,RT13.12,0
1701-14113_3.D,1701-14113,RT13.12,0
1701-14113_1.D,1701-14113,RT13.26,9562
1701-14113_2.D,1701-14113,RT13.26,24484
1701-14113_3.D,1701-14113,RT13.26,22138
1701-14113_1.D,1701-14113,RT13.33,31322
1701-14113_2.D,1701-14113,RT13.33,41512
1701-14113_3.D,1701-14113,RT13.33,44032
1701-14113_1.D,1701-14113,RT14.19,12300
1701-14113_2.D,1701-14113,RT14.19,18260
1701-14113_3.D,1701-14113,RT14.19,13174
1701-14113_1.D,1701-14113,RT14.62,378801
1701-14113_2.D,1701-14113,RT14.62,509603
1701-14113_3.D,1701-14113,RT14.62,663811
1701-14113_1.D,1701-14113,RT15.63,0
1701-14113_2.D,1701-14113,RT15.63,0
1701-14113_3.D,1701-14113,RT15.63,0
1701-14113_1.D,1701-14113,RT16.24,3615
1701-14113_2.D,1701-14113,RT16.24,3265
1701-14113_3.D,1701-14113,RT16.24,2833
1701-14113_1.D,1701-14113,RT16.30,26852
1701-14113_2.D,1701-14113,RT16.30,21382
1701-14113_3.D,1701-14113,RT16.30,36544
1701-14113_1.D,1701-14113,RT16.55,5197
1701-14113_2.D,1701-14113,RT16.55,6647
1701-14113_3.D,1701-14113,RT16.55,5636
1701-14113_1.D,1701-14113,RT17.21,9042
1701-14113_2.D,1701-14113,RT17.21,10013
1701-14113_3.D,1701-14113,RT17.21,9171
1701-14113_1.D,1701-14113,RT17.27,0
1701-14113_2.D,1701-14113,RT17.27,0
1701-14113_3.D,1701-14113,RT17.27,0
1701-14113_1.D,1701-14113,RT17.49,9502
1701-14113_2.D,1701-14113,RT17.49,6716
1701-14113_3.D,1701-14113,RT17.49,11475
1701-14113_1.D,1701-14113,RT17.63,56554
1701-14113_2.D,1701-14113,RT17.63,110361
1701-14113_3.D,1701-14113,RT17.63,80490
1701-14113_1.D,1701-14113,RT18.81,0
1701-14113_2.D,1701-14113,RT18.81,0
1701-14113_3.D,1701-14113,RT18.81,0
1701-14113_1.D,1701-14113,RT19.83,0
1701-14113_2.D,1701-14113,RT19.83,0
1701-14113_3.D,1701-14113,RT19.83,0
1701-14113_1.D,1701-14113,RT19.99,8770
1701-14113_2.D,1701-14113,RT19.99,32192
1701-14113_3.D,1701-14113,RT19.99,16233
1701-14113_1.D,1701-14113,RT20.06,14379
1701-14113_2.D,1701-14113,RT20.06,13416
1701-14113_3.D,1701-14113,RT20.06,12243
