File,Band_Number,Burrow,Pair,BurrowOverlap,IS_Area,Sample_Mass
1701-14113_1.D,1701-14113,118,Y,Y,825938,0.0047
1701-14113_2.D,1701-14113,118,Y,Y,1293238,0.0044
1701-14113_3.D,1701-14113,118,Y,Y,1253972,0.0052
1701-14139_1.D,1701-14139,147,N,Y,792710,0.0034
1701-14139_2.D,1701-14139,147,N,Y,1198434,0.0037
1701-14139_3.D,1701-14139,147,N,Y,906411,0.0057
1701-14446_1.D,1701-14446,159,Y,N,1145345,0.0054
1701-14446_2.D,1701-14446,159,Y,N,1164707,0.002
1701-14446_3.D,1701-14446,159,Y,N,1049995,0.0031
1701-14472_1.D,1701-14472,209,Y,N,960071,0.0058
1701-14472_2.D,1701-14472,209,Y,N,1466991,0.0053
1701-14472_3.D,1701-14472,209,Y,N,1131067,0.0033
1701-14475_1.D,1701-14475,424,Y,N,925400,0.0044
1701-14475_2.D,1701-14475,424,Y,N,1136861,0.0046
1701-14475_3.D,1701-14475,424,Y,N,767305,0.0083
2601-02226_1.D,2601-02226,156,Y,N,821212,0.0032
2601-02226_2.D,2601-02226,156,Y,N,1417451,0.0043
2601-02226_3.D,2601-02226,156,Y,N,898736,0.0026
2601-02290_1.D,2601-02290,131,Y,Y,1244298,0.004
2601-02290_2.D,2601-02290,131,Y,Y,1073652,0.0048
2601-02290_3.D,2601-02290,131,Y,Y,1142332,0.0032
2601-02328_1.D,2601-02328,284,Y,N,996584,0.0065
2601-02328_2.D,2601-02328,284,Y,N,943000,0.0034
2601-02328_3.D,2601-02328,284,Y,N,1471558,0.0045
2601-02359_1.D,2601-02359,159,Y,Y,678659,0.007
2601-02359_2.D,2601-02359,159,Y,Y,1034357,0.007
2601-02359_3.D,2601-02359,159,Y,Y,787182,0.005
2601-03249_1.D,2601-03249,371,Y,Y,1308906,0.0034
2601-03249_2.D,2601-03249,371,Y,Y,1322516,0.0066
2601-03249_3.D,2601-03249,371,Y,Y,1076358,0.0079
2601-03260_1.D,2601-03260,450,Y,N,1339471,0.0039
2601-03260_2.D,2601-03260,450,Y,N,948318,0.0052
2601-03260_3.D,2601-03260,450,Y,N,1523995,0.0075
2601-03269_1.D,2601-03269,328,Y,N,998972,0.0068
2601-03269_2.D,2601-03269,328,Y,N,953724,0.0047
2601-03269_3.D,2601-03269,328,Y,N,1668543,0.0042
2601-03286_1.D,2601-03286,81,Y,N,892112,0.0039
2601-03286_2.D,2601-03286,81,Y,N,886552,0.0056
2601-03286_3.D,2601-03286,81,Y,N,1197622,0.0077
2601-03290_1.D,2601-03290,156,Y,Y,1128974,0.0025
2601-03290_2.D,2601-03290,156,Y,Y,1304719,0.0071
2601-03290_3.D,2601-03290,156,Y,Y,1255127,0.0032
2601-03293_1.D,2601-03293,371,Y,N,909612,0.0071
2601-03293_2.D,2601-03293,371,Y,N,860729,0.004
2601-03293_3.D,2601-03293,371,Y,N,1376504,0.0031
7901-01386_1.D,7901-01386,103,N,Y,997689,0.006
7901-01386_2.D,7901-01386,103,N,Y,898963,0.0083
7901-01386_3.D,7901-01386,103,N,Y,973341,0.0094
7901-01387_1.D,7901-01387,101,N,Y,1198146,0.0051
7901-01387_2.D,7901-01387,101,N,Y,1480170,0.0059
7901-01387_3.D,7901-01387,101,N,Y,1313349,0.003
7901-01396_1.D,7901-01396,424,Y,N,604036,0.0072
7901-01396_2.D,7901-01396,424,Y,N,920358,0.005
7901-01396_3.D,7901-01396,424,Y,N,1451829,0.0029
7901-01405_1.D,7901-01405,209,Y,N,1016221,0.0069
7901-01405_2.D,7901-01405,209,Y,N,1246308,0.0041
7901-01405_3.D,7901-01405,209,Y,N,1040273,0.0043
7901-01453_1.D,7901-01453,225,N,Y,1031056,0.0104
7901-01453_2.D,7901-01453,225,N,Y,1008813,0.0085
7901-01453_3.D,7901-01453,225,N,Y,1034401,0.0065
7901-01455_1.D,7901-01455,226,Y,N,646820,0.0052
7901-01455_2.D,7901-01455,226,Y,N,1107332,0.0068
7901-01455_3.D,7901-01455,226,Y,N,986345,0.0061
7901-15027_1.D,7901-15027,529,N,Y,1522145,0.0049
7901-15027_2.D,7901-15027,529,N,Y,1154131,0.0076
7901-15027_3.D,7901-15027,529,N,Y,1578679,0.0071
7901-15040_1.D,7901-15040,578,Y,N,1452925,0.0026
7901-15040_2.D,7901-15040,578,Y,N,1205052,0.0042
7901-15040_3.D,7901-15040,578,Y,N,1022353,0.0036
7901-15195_1.D,7901-15195,294,Y,N,949080,0.0065
7901-15195_2.D,7901-15195,294,Y,N,986400,0.005
7901-15195_3.D,7901-15195,294,Y,N,941405,0.0036
7901-15214_1.D,7901-15214,246,Y,N,831107,0.0033
7901-15214_2.D,7901-15214,246,Y,N,1008325,0.0053
7901-15214_3.D,7901-15214,246,Y,N,1582672,0.0054
7901-15218_1.D,7901-15218,92,Y,N,1390514,0.0058
7901-15218_2.D,7901-15218,92,Y,N,1168394,0.0077
7901-15218_3.D,7901-15218,92,Y,N,1485223,0.0082
7901-15222_1.D,7901-15222,131,Y,N,992324,0.0051
7901-15222_2.D,7901-15222,131,Y,N,816286,0.0038
7901-15222_3.D,7901-15222,131,Y,N,1108066,0.0068
7901-15258_1.D,7901-15258,294,Y,N,953368,0.003
7901-15258_2.D,7901-15258,294,Y,N,1409463,0.0022
7901-15258_3.D,7901-15258,294,Y,N,1101580,0.0024
7901-15282_1.D,7901-15282,578,Y,N,1206692,0.0048
7901-15282_2.D,7901-15282,578,Y,N,2080224,0.0039
7901-15282_3.D,7901-15282,578,Y,N,818469,0.0059
7901-15301_1.D,7901-15301,450,Y,N,903117,0.0113
7901-15301_2.D,7901-15301,450,Y,N,956354,0.0098
7901-15301_3.D,7901-15301,450,Y,N,1378435,0.0075
7901-15364_1.D,7901-15364,299,Y,Y,1001500,0.0041
7901-15364_2.D,7901-15364,299,Y,Y,1369437,0.0048
7901-15364_3.D,7901-15364,299,Y,Y,1110483,0.0028
7901-15366_1.D,7901-15366,169,N,Y,1138756,0.0052
7901-15366_2.D,7901-15366,169,N,Y,1277793,0.0049
7901-15366_3.D,7901-15366,169,N,Y,1047327,0.0039
7901-15419_1.D,7901-15419,246,Y,Y,1221217,0.0068
7901-15419_2.D,7901-15419,246,Y,Y,1033842,0.0062
7901-15419_3.D,7901-15419,246,Y,Y,1211590,0.0108
7901-20009_1.D,7901-20009,299,Y,N,1050737,0.0021
7901-20009_2.D,7901-20009,299,Y,N,1060553,0.0026
7901-20009_3.D,7901-20009,299,Y,N,1149207,0.0024
7901-20024_1.D,7901-20024,207,Y,N,1458161,0.0038
7901-20024_2.D,7901-20024,207,Y,N,1872049,0.0041
7901-20024_3.D,7901-20024,207,Y,N,1251814,0.0054
7901-20034_1.D,7901-20034,295,N,Y,1094671,0.005
7901-20034_2.D,7901-20034,295,N,Y,1118243,0.0036
7901-20034_3.D,7901-20034,295,N,Y,1833907,0.0041
7901-20044_1.D,7901-20044,184,Y,N,1066278,0.0038
7901-20044_2.D,7901-20044,184,Y,N,1194503,0.0043
7901-20044_3.D,7901-20044,184,Y,N,954379,0.0058
7901-20045_1.D,7901-20045,313,N,Y,1217407,0.0048
7901-20045_2.D,7901-20045,313,N,Y,1559108,0.0028
7901-20045_3.D,7901-20045,313,N,Y,1049924,0.0037
7901-20054_1.D,7901-20054,284,Y,Y,972952,0.0066
7901-20054_2.D,7901-20054,284,Y,Y,953159,0.0056
