File,RT,Area
Bkgd101_Site2_1.D,RT10.19,31187
Bkgd101_Site2_1.D,RT10.25,12799
Bkgd101_Site2_1.D,RT10.44,159295
Bkgd101_Site2_1.D,RT10.72,33841
Bkgd101_Site2_1.D,RT10.77,139990
Bkgd101_Site2_1.D,RT10.82,207653
Bkgd101_Site2_1.D,RT10.93,0
Bkgd101_Site2_1.D,RT10.95,105825
Bkgd101_Site2_1.D,RT11.18,0
Bkgd101_Site2_1.D,RT11.20,19389
Bkgd101_Site2_1.D,RT11.37,27036
Bkgd101_Site2_1.D,RT11.47,41884
Bkgd101_Site2_1.D,RT11.56,65084
Bkgd101_Site2_1.D,RT11.64,68903
Bkgd101_Site2_1.D,RT11.76,29984
Bkgd101_Site2_1.D,RT11.77,147149
Bkgd101_Site2_1.D,RT11.84,7794
Bkgd101_Site2_1.D,RT11.87,44492
Bkgd101_Site2_1.D,RT11.98,185666
Bkgd101_Site2_1.D,RT12.16,42921
Bkgd101_Site2_1.D,RT12.23,0
Bkgd101_Site2_1.D,RT12.29,66632
Bkgd101_Site2_1.D,RT12.41,0
Bkgd101_Site2_1.D,RT12.44,40608
Bkgd101_Site2_1.D,RT12.81,14001
Bkgd101_Site2_1.D,RT12.88,158829
Bkgd101_Site2_1.D,RT13.05,8217
Bkgd101_Site2_1.D,RT13.20,19865
Bkgd101_Site2_1.D,RT13.28,98189
Bkgd101_Site2_1.D,RT13.33,0
Bkgd101_Site2_1.D,RT13.38,46811
Bkgd101_Site2_1.D,RT13.52,0
Bkgd101_Site2_1.D,RT13.57,179320
Bkgd101_Site2_1.D,RT13.67,165357
Bkgd101_Site2_1.D,RT13.76,0
Bkgd101_Site2_1.D,RT13.80,0
Bkgd101_Site2_1.D,RT13.84,53897
Bkgd101_Site2_1.D,RT13.88,0
Bkgd101_Site2_1.D,RT13.98,47757
Bkgd101_Site2_1.D,RT14.06,0
Bkgd101_Site2_1.D,RT14.10,121855
Bkgd101_Site2_1.D,RT14.12,24308
Bkgd101_Site2_1.D,RT14.17,110032
Bkgd101_Site2_1.D,RT14.23,31694
Bkgd101_Site2_1.D,RT14.27,0
Bkgd101_Site2_1.D,RT14.40,0
Bkgd101_Site2_1.D,RT14.61,74088
Bkgd101_Site2_1.D,RT14.95,0
Bkgd101_Site2_1.D,RT14.99,0
Bkgd101_Site2_1.D,RT15.03,89513
Bkgd101_Site2_1.D,RT15.14,48040
Bkgd101_Site2_1.D,RT15.18,0
Bkgd101_Site2_1.D,RT15.21,126197
Bkgd101_Site2_1.D,RT15.26,0
Bkgd101_Site2_1.D,RT15.28,0
Bkgd101_Site2_1.D,RT15.38,62458
Bkgd101_Site2_1.D,RT15.46,57800
Bkgd101_Site2_1.D,RT15.49,11009
Bkgd101_Site2_1.D,RT15.58,37606
Bkgd101_Site2_1.D,RT15.64,0
Bkgd101_Site2_1.D,RT15.74,41359
Bkgd101_Site2_1.D,RT15.90,43643
Bkgd101_Site2_1.D,RT15.98,8712
Bkgd101_Site2_1.D,RT16.17,0
Bkgd101_Site2_1.D,RT16.20,17823
Bkgd101_Site2_1.D,RT16.38,16551
Bkgd101_Site2_1.D,RT16.45,88625
Bkgd101_Site2_1.D,RT16.52,22931
Bkgd101_Site2_1.D,RT16.55,17254
Bkgd101_Site2_1.D,RT16.64,0
Bkgd101_Site2_1.D,RT16.79,0
Bkgd101_Site2_1.D,RT16.98,0
Bkgd101_Site2_1.D,RT16.99,22165
Bkgd101_Site2_1.D,RT17.04,0
Bkgd101_Site2_1.D,RT17.14,24211
Bkgd101_Site2_1.D,RT17.17,0
Bkgd101_Site2_1.D,RT17.20,0
Bkgd101_Site2_1.D,RT17.28,0
Bkgd101_Site2_1.D,RT17.43,18139
Bkgd101_Site2_1.D,RT17.45,0
Bkgd101_Site2_1.D,RT17.54,0
Bkgd101_Site2_1.D,RT17.56,37330
Bkgd101_Site2_1.D,RT17.86,0
Bkgd101_Site2_1.D,RT17.91,0
Bkgd101_Site2_1.D,RT18.05,0
Bkgd101_Site2_1.D,RT18.17,58251
