Burrow,CAP1,CAP2,Location,Site,Class
101,-0.126157769,0.029700523,Bkgd101,Site2,Bkgd
103,-0.05488043,-0.070941942,Bkgd103,Site2,Bkgd
109,-0.113548117,-0.004141281,Bkgd109,Site2,Bkgd
118,-0.103085002,-0.053022627,Bkgd118,Site2,Bkgd
131,-0.034152744,-0.024656946,Bkgd131,Site2,Bkgd
147,-0.035680997,0.011340588,Bkgd147,Site2,Bkgd
352,-0.06590625,0.007822474,Bkgd352,Site1,Bkgd
293,-0.151855632,-0.050609492,Bkgd293,Site1,Bkgd
399,-0.031652166,-0.048897158,Bkgd399,Site1,Bkgd
313,-0.029247016,0.086855405,Bkgd313,Site1,Bkgd
257,-0.011302259,0.022630694,Bkgd257,Site1,Bkgd
205,-0.03450893,0.040387832,Bkgd205,Site1,Bkgd
246,-0.145214923,0.023594338,Bkgd246,Site2,Bkgd
299,-0.066171563,-0.028491412,Bkgd299,Site1,Bkgd
295,-0.046930117,0.008194433,Bkgd295,Site1,Bkgd
169,-0.060243295,-0.023891707,Bkgd169,Site1,Bkgd
225,-0.009847773,0.042234733,Bkgd225,Site1,Bkgd
393,-0.057187518,0.013602403,Bkgd393,Site1,Bkgd
287,-0.102877124,-0.035798196,Bkgd287,Site1,Bkgd
281,-0.086994042,-0.036747982,Bkgd281,Site1,Bkgd
371,-0.059497377,-0.006101281,Bkgd371,Site1,Bkgd
159,-0.057625544,-0.015418536,Bkgd159,Site1,Bkgd
389,-0.069316599,0.00748013,Bkgd389,Site1,Bkgd
Unmarked,-0.113324349,-0.003598994,BkgdUnmarked,Site1,Bkgd
356,-0.013443506,-0.046867976,Bkgd356,Site1,Bkgd
370,-0.040227432,0.034515891,Bkgd370,Site1,Bkgd
161,-0.070462806,-0.010859793,Bkgd161,Site1,Bkgd
156,-0.05976325,-0.057890682,Bkgd156,Site1,Bkgd
510,-0.033842944,-0.022784991,Bkgd510,Site3,Bkgd
511,-0.087865626,-0.007315384,Bkgd511,Site3,Bkgd
512,-0.066158776,0.024748189,Bkgd512,Site3,Bkgd
513,-0.051167228,-0.002617825,Bkgd513,Site3,Bkgd
516,-0.007855326,-0.013588689,Bkgd516,Site3,Bkgd
524,-0.062265986,-0.009455491,Bkgd524,Site3,Bkgd
525,-0.020712971,0.016595432,Bkgd525,Site3,Bkgd
528,-0.071167621,0.01781156,Bkgd528,Site3,Bkgd
529,-0.102803964,-0.011639452,Bkgd529,Site3,Bkgd
284,-0.028005857,-0.037531224,Bkgd284,Site1,Bkgd
434,-0.031322384,-0.041977506,Bkgd434,Site1,Bkgd
175,-0.064708526,-0.034119753,Bkgd175,Site1,Bkgd
314,-0.070375037,0.015161734,Bkgd314,Site1,Bkgd
387,-0.087579832,-0.000682815,Bkgd387,Site1,Bkgd
154,-0.101302953,-0.02394895,Bkgd154,Site1,Bkgd
90,0.039547121,0.037743528,Bkgd90,Site2,Bkgd
101,0.238542297,-0.097809683,Burr101,Site2,Occ_Burrow
103,0.10613778,0.034532764,Burr103,Site2,Occ_Burrow
109,0.139266339,-0.051440324,Burr109,Site2,Occ_Burrow
118,0.263443057,-0.082503296,Burr118,Site2,Occ_Burrow
131,0.066492738,-0.030742804,Burr131,Site2,Occ_Burrow
147,0.18260731,0.008249606,Burr147,Site2,Occ_Burrow
156,0.035537282,-0.068348506,Burr156,Site1,Occ_Burrow
159,0.057380974,0.013314921,Burr159,Site1,Occ_Burrow
169,0.084536671,-0.044571099,Burr169,Site1,Occ_Burrow
175,0.085884943,0.042014063,Burr175,Site1,Occ_Burrow
205,0.071761801,-0.061373214,Burr205,Site1,Occ_Burrow
225,0.171538235,0.015518936,Burr225,Site1,Occ_Burrow
246,0.142449562,-0.058329499,Burr246,Site2,Occ_Burrow
284,0.076352002,0.009925107,Burr284,Site1,Occ_Burrow
287,0.117086257,0.006115427,Burr287,Site1,Occ_Burrow
293,0.154677491,0.054585006,Burr293,Site1,Occ_Burrow
295,0.07816501,0.071479892,Burr295,Site1,Occ_Burrow
299,0.100670127,-0.005350064,Burr299,Site1,Occ_Burrow
313,0.013898421,0.00908373,Burr313,Site1,Occ_Burrow
314,-0.003639049,0.048905669,Burr314,Site1,Occ_Burrow
352,0.111530634,-0.005420296,Burr352,Site1,Occ_Burrow
356,0.068579125,-0.056942087,Burr356,Site1,Occ_Burrow
370,-0.092581669,-0.036804215,Burr370,Site1,Occ_Burrow
371,0.042549402,0.048431224,Burr371,Site1,Occ_Burrow
387,0.100314263,0.02919143,Burr387,Site1,Occ_Burrow
393,0.100515359,0.022692974,Burr393,Site1,Occ_Burrow
512,0.108489027,0.021639781,Burr512,Site3,Occ_Burrow
516,0.0724358,-0.011938438,Burr516,Site3,Occ_Burrow
524,0.063234141,0.031901565,Burr524,Site3,Occ_Burrow
529,0.008126933,-0.021022955,Burr529,Site3,Occ_Burrow
154,-0.030746751,0.040501269,Burr154,Site1,Unocc_Burrow
161,0.01768739,0.016711835,Burr161,Site1,Unocc_Burrow
257,0.045421751,0.049358185,Burr257,Site1,Unocc_Burrow
281,-0.021846053,0.02402876,Burr281,Site1,Unocc_Burrow
389,-0.007397631,0.034837453,Burr389,Site1,Unocc_Burrow
399,-0.029342534,-0.027794567,Burr399,Site1,Unocc_Burrow
434,0.037410768,0.038279008,Burr434,Site1,Unocc_Burrow
510,-0.022497841,0.019064649,Burr510,Site3,Unocc_Burrow
511,0.013732438,0.073905385,Burr511,Site3,Unocc_Burrow
513,0.041977929,0.05490363,Burr513,Site3,Unocc_Burrow
525,0.008548202,0.026406049,Burr525,Site3,Unocc_Burrow
528,-0.023084226,0.052452226,Burr528,Site3,Unocc_Burrow
90,-0.11218719,-0.021135973,Burr90,Site2,Unocc_Burrow
Unmarked,0.015033919,0.066674678,BurrUnmarked,Site1,Unocc_Burrow
