Burrow,CAP1,CAP2,Location,Site,Class
101,0.215836176,0.225791063,Bkgd101,Site2,Bkgd
103,0.018924002,0.104875284,Bkgd103,Site2,Bkgd
109,-0.01281772,0.119867801,Bkgd109,Site2,Bkgd
118,0.060460046,0.170157906,Bkgd118,Site2,Bkgd
131,0.021444434,0.010162764,Bkgd131,Site2,Bkgd
147,0.040040627,-0.002142781,Bkgd147,Site2,Bkgd
246,0.055097186,0.163343813,Bkgd246,Site2,Bkgd
90,0.057708234,0.009178131,Bkgd90,Site2,Bkgd
101,-0.017412958,0.175681311,Burr101,Site2,Occ_Burrow
103,0.085188888,0.067161096,Burr103,Site2,Occ_Burrow
109,0.033460748,0.202944653,Burr109,Site2,Occ_Burrow
118,0.160192085,0.189541614,Burr118,Site2,Occ_Burrow
131,0.099937781,-0.034646194,Burr131,Site2,Occ_Burrow
147,0.029019657,0.179230785,Burr147,Site2,Occ_Burrow
246,0.060794119,0.143006779,Burr246,Site2,Occ_Burrow
90,0.046279948,0.03222823,Burr90,Site2,Unocc_Burrow
352,-0.034573209,-0.004296872,Bkgd352,Site1,Bkgd
293,-0.023006971,0.04914486,Bkgd293,Site1,Bkgd
399,-0.058513333,-0.015594461,Bkgd399,Site1,Bkgd
313,-0.07022837,-0.01052754,Bkgd313,Site1,Bkgd
257,-0.123879589,-0.06319133,Bkgd257,Site1,Bkgd
205,-0.077948261,-0.02979791,Bkgd205,Site1,Bkgd
299,-0.078175395,0.017925421,Bkgd299,Site1,Bkgd
295,0.001630212,-0.011124919,Bkgd295,Site1,Bkgd
169,-0.103400014,0.03538983,Bkgd169,Site1,Bkgd
225,-0.054269684,-0.143489537,Bkgd225,Site1,Bkgd
393,-0.094109936,-0.044244309,Bkgd393,Site1,Bkgd
287,0.028871149,-0.005642414,Bkgd287,Site1,Bkgd
281,-0.072033271,-0.01816076,Bkgd281,Site1,Bkgd
371,-0.053150501,-0.031500683,Bkgd371,Site1,Bkgd
159,-0.079143722,-0.047987159,Bkgd159,Site1,Bkgd
389,-0.089949886,-0.022092468,Bkgd389,Site1,Bkgd
Unmarked,-0.063021353,-0.084349813,BkgdUnmarked,Site1,Bkgd
356,-0.059104146,0.106709882,Bkgd356,Site1,Bkgd
370,0.020528336,-0.083080937,Bkgd370,Site1,Bkgd
161,-0.041393872,-0.055805384,Bkgd161,Site1,Bkgd
156,-0.10375664,-0.010786294,Bkgd156,Site1,Bkgd
284,-0.097285919,0.058128307,Bkgd284,Site1,Bkgd
434,-0.007214887,-0.019011227,Bkgd434,Site1,Bkgd
175,-0.107222983,-0.010747383,Bkgd175,Site1,Bkgd
314,-0.025918031,-0.08487584,Bkgd314,Site1,Bkgd
387,-0.126296555,-0.043666375,Bkgd387,Site1,Bkgd
154,-0.018154342,-0.008061731,Bkgd154,Site1,Bkgd
154,-0.11716566,-0.037708731,Burr154,Site1,Unocc_Burrow
156,-0.080539549,0.018167865,Burr156,Site1,Occ_Burrow
159,-0.117193695,-0.032978899,Burr159,Site1,Occ_Burrow
161,-0.09086767,0.007517484,Burr161,Site1,Unocc_Burrow
169,-0.093679268,0.000948315,Burr169,Site1,Occ_Burrow
175,-0.076359418,0.000648674,Burr175,Site1,Occ_Burrow
205,-0.048465601,0.031092405,Burr205,Site1,Occ_Burrow
225,0.007779775,-0.106615523,Burr225,Site1,Occ_Burrow
257,-0.105509854,0.012414722,Burr257,Site1,Unocc_Burrow
281,-0.025639906,-0.004421512,Burr281,Site1,Unocc_Burrow
284,-0.044477974,0.05722198,Burr284,Site1,Occ_Burrow
287,0.017270355,0.010777212,Burr287,Site1,Occ_Burrow
293,-0.101464079,0.097357685,Burr293,Site1,Occ_Burrow
295,-0.075660894,0.075644037,Burr295,Site1,Occ_Burrow
299,0.042933331,0.011391973,Burr299,Site1,Occ_Burrow
313,0.003770907,-0.017602447,Burr313,Site1,Occ_Burrow
314,-0.082615534,-0.031745008,Burr314,Site1,Occ_Burrow
352,-0.078509994,-0.011533395,Burr352,Site1,Occ_Burrow
356,-0.089996479,0.080551217,Burr356,Site1,Occ_Burrow
370,-0.068436819,0.026599739,Burr370,Site1,Occ_Burrow
371,-0.061029282,-0.093829823,Burr371,Site1,Occ_Burrow
387,-0.086015503,-0.036028404,Burr387,Site1,Occ_Burrow
389,-0.137573807,-0.065143553,Burr389,Site1,Unocc_Burrow
393,-0.048574466,0.0011077,Burr393,Site1,Occ_Burrow
399,-0.010481947,-0.006776253,Burr399,Site1,Unocc_Burrow
434,-0.034082032,-0.040968529,Burr434,Site1,Unocc_Burrow
Unmarked,-0.078419419,-0.011771295,BurrUnmarked,Site1,Unocc_Burrow
510,0.007108339,-0.033489553,Bkgd510,Site3,Bkgd
511,0.083820562,-0.032665285,Bkgd511,Site3,Bkgd
512,0.17569208,-0.043968892,Bkgd512,Site3,Bkgd
513,0.15378542,-0.08253635,Bkgd513,Site3,Bkgd
516,0.079088348,-0.072338506,Bkgd516,Site3,Bkgd
524,0.184462759,-0.038719881,Bkgd524,Site3,Bkgd
525,0.130134842,-0.080943639,Bkgd525,Site3,Bkgd
528,0.10996039,-0.072970917,Bkgd528,Site3,Bkgd
