RT,CAP1,CAP2
RT10.19,0.010549635,0.024713669
RT10.25,0.0985748,0.230589055
RT10.44,0.02824185,0.28596731
RT10.72,0.233915098,-0.188579869
RT10.77,-0.308834492,-0.135071783
RT10.82,-0.285463789,-0.091744968
RT10.93,0.129298814,0.145781087
RT10.95,-0.136042127,-0.116150104
RT11.18,0.03030161,0.07582231
RT11.20,-0.147998799,-0.042714759
RT11.37,-0.124922894,-0.394050967
RT11.47,0.058438254,0.198233813
RT11.56,-0.278439659,-0.208450593
RT11.64,-0.201361711,-0.131524776
RT11.76,-0.216072693,-0.032728542
RT11.77,-0.333545334,-0.282148493
RT11.84,-0.003844953,0.085911176
RT11.87,-0.177971596,-0.118808193
RT11.98,-0.013347382,0.13242967
RT12.16,0.037429278,0.144446404
RT12.23,0.32484537,0.271243311
RT12.29,-0.275152112,-0.118927221
RT12.41,-0.030598335,0.003053323
RT12.44,-0.236538708,-0.091021293
RT12.81,-0.174035863,-0.139017728
RT12.88,-0.254343256,-0.128257661
RT13.05,-0.123954633,0.052053795
RT13.20,-0.178424129,-0.121478666
RT13.28,-0.275242487,-0.104576164
RT13.33,-0.004361525,-0.110524193
RT13.38,-0.21289826,-0.136414686
RT13.52,0.000934288,0.077399661
RT13.57,-0.168170311,-0.132303393
RT13.67,-0.205173951,-0.131024191
RT13.76,0.082824585,0.182266404
RT13.80,-0.20854291,-0.358133947
RT13.84,-0.200194884,-0.150128818
RT13.88,0.076681332,0.219480884
RT13.98,0.042160581,0.210540953
RT14.06,-0.012245776,0.093875614
RT14.10,-0.198230032,-0.137297245
RT14.12,-0.239352769,-0.236632356
RT14.17,-0.076821239,-0.097555469
RT14.23,0.011611545,-0.056136871
RT14.27,0.014429456,-0.14316743
RT14.40,-0.076838005,0.109726105
RT14.61,0.67581797,-0.320272629
RT14.95,0.158157321,0.197171645
RT14.99,0.058919987,0.10825021
RT15.03,-0.115080617,-0.166337885
RT15.14,-0.157730071,-0.118676446
RT15.18,0.248544888,0.230592866
RT15.21,-0.154173704,-0.16991892
RT15.26,-0.022881365,0.050832063
RT15.28,-0.09281521,0.083661343
RT15.38,-0.170460317,-0.140868139
RT15.46,-0.185851578,-0.136232657
RT15.49,0.112834067,0.191050252
RT15.58,-0.187988652,-0.117030195
RT15.64,0.324222228,0.22643931
RT15.74,0.118302684,0.289534035
RT15.90,-0.053657619,0.112944597
RT15.98,0.07988183,0.132880686
RT16.17,0.163462642,0.178749748
RT16.20,0.105369206,0.296137321
RT16.38,-0.148148356,-0.165048499
RT16.45,0.033661134,0.014105609
