RT,CAP1,CAP2
RT10.19,0.446533901,-0.186477736
RT10.25,0.209881091,-0.656993722
RT10.44,0.012941249,-0.761338051
RT10.72,0.399125847,0.251249374
RT10.77,0.138349325,-0.017037169
RT10.82,0.077709811,-0.266731899
RT10.93,-0.137899527,-0.177474143
RT10.95,0.571965599,0.134563605
RT11.18,0.218096347,-0.4095606
RT11.20,0.134423951,-0.156745705
RT11.37,0.231711506,0.139463966
RT11.47,0.073290227,-0.642356075
RT11.56,0.408032179,0.231500618
RT11.64,0.441865892,0.239879611
RT11.76,-0.059090092,-0.584633048
RT11.77,0.02954264,-0.038331331
RT11.84,0.307294705,-0.556634166
RT11.87,0.483619946,0.222492354
RT11.98,-0.057912967,-0.626541709
RT12.16,0.008518585,-0.482060375
RT12.23,-0.100772927,0.13404953
RT12.29,0.376299162,0.085662286
RT12.41,0.195090342,-0.432347402
RT12.44,0.496634281,0.162988689
RT12.81,0.521943819,0.128581654
RT12.88,0.52821422,0.145447988
RT13.05,-0.152920787,-0.649441635
RT13.20,0.472831183,0.168187324
RT13.28,0.499632556,0.090722506
RT13.33,-0.038762444,-0.226361476
RT13.38,0.468457296,0.137671474
RT13.52,0.248622907,-0.321805692
RT13.57,0.472506023,0.206700367
RT13.67,0.456796525,0.213014629
RT13.76,0.313072708,-0.574133785
RT13.80,0.079771096,-0.201816544
RT13.84,0.326656238,0.144504831
RT13.88,-0.01042244,-0.53598112
RT13.98,0.497022288,-0.431122879
RT14.06,0.29216822,-0.393740105
RT14.10,0.303532259,0.077189213
RT14.12,0.224051917,-0.097796557
RT14.17,0.532036912,0.21357494
RT14.23,0.508094995,0.103050855
RT14.27,-0.296986427,-0.175324983
RT14.40,-0.284178369,-0.363538547
RT14.61,0.166715389,0.251897776
RT14.95,0.432965291,-0.368364695
RT14.99,0.328517707,-0.415750734
RT15.03,0.345451639,0.20302862
RT15.14,0.393091105,0.144966129
RT15.18,0.351571845,-0.455719534
RT15.21,0.361274629,0.257874656
RT15.26,0.309436807,-0.478071313
RT15.28,0.249521045,-0.526412213
RT15.38,0.397739553,0.204202711
RT15.46,0.416942152,0.190601922
RT15.49,0.362567826,-0.452269663
RT15.58,0.405505763,0.177381402
RT15.64,0.178642512,-0.293676784
RT15.74,-0.017008533,-0.532303681
RT15.90,0.291624209,-0.031652389
